Name,Group,Protocol,Port,IcmpType,Program,Service,RemoteAddress,Description
Windows Internet Naming Service (WINS) - Remote Management (RPC),Windows Internet Naming Service (WINS) - Remote Management,TCP,RPC,,%SystemRoot%\System32\wins.exe,WINS,Management,Inbound rule for the Windows Internet Naming Service to allow remote management via RPC/TCP.
Core Networking - Destination Unreachable (ICMPv6-In),Core Networking,ICMPv6,,1,System,,Client,Destination Unreachable error messages are sent from any node that a packet traverses which is unable to forward the packet for any reason except congestion.
Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In),Core Networking,ICMPv4,,3:04,System,,Client,Destination Unreachable Fragmentation Needed error messages are sent from any node that a packet traverses which is unable to forward the packet because fragmentation was needed and the don't fragment bit was set.
Core Networking - Neighbor Discovery Advertisement (ICMPv6-In),Core Networking,ICMPv6,,136,System,,Client,Neighbor Discovery Advertisement messages are sent by nodes to notify other nodes of link-layer address changes or in response to a Neighbor Discovery Solicitation request.
Core Networking - Neighbor Discovery Solicitation (ICMPv6-In),Core Networking,ICMPv6,,135,System,,Client,Neighbor Discovery Solicitations are sent by nodes to discover the link-layer address of another on-link IPv6 node.
Core Networking - Packet Too Big (ICMPv6-In),Core Networking,ICMPv6,,2,System,,Client,Packet Too Big error messages are sent from any node that a packet traverses which is unable to forward the packet because the packet is too large for the next link.
Core Networking - Parameter Problem (ICMPv6-In),Core Networking,ICMPv6,,4,System,,Client,Parameter Problem error messages are sent by nodes as a result of incorrectly generated packets.
Core Networking - Time Exceeded (ICMPv6-In),Core Networking,ICMPv6,,3,System,,Client,Time Exceeded error messages are generated from any node that a packet traverses if the Hop Limit value is decremented to zero at any point on the path.
Windows Remote Management (HTTP-In),Windows Remote Management,TCP,5985,,System,,Management,Inbound rule for Windows Remote Management via WS-Management. [TCP 5985]
Windows Management Instrumentation (WMI-In),Windows Management Instrumentation (WMI),TCP,Any,,%SystemRoot%\system32\svchost.exe,winmgmt,Management,Inbound rule to allow WMI traffic for remote Windows Management Instrumentation. [TCP]
Remote Desktop - User Mode (UDP-In),Remote Desktop,UDP,3389,,%SystemRoot%\system32\svchost.exe,termservice,Management,Inbound rule for the Remote Desktop service to allow RDP traffic. [UDP 3389]
Remote Desktop - User Mode (TCP-In),Remote Desktop,TCP,3389,,%SystemRoot%\system32\svchost.exe,termservice,Management,Inbound rule for the Remote Desktop service to allow RDP traffic. [TCP 3389]
"RPC (TCP, Incoming)",DNS Service,TCP,RPC,,%systemroot%\System32\dns.exe,dns,Management,Inbound rule to allow remote RPC/TCP access to the DNS service.
Windows Backup (RPC),Windows Backup,TCP,RPC,,%systemroot%\system32\wbengine.exe,wbengine,Management,Inbound rule for the Windows Backup Service to be remotely managed via RPC/TCP
DFS Management (TCP-In),DFS Management,TCP,RPC,,%systemroot%\system32\dfsfrsHost.exe,,Management,Inbound rule for DFS Management to allow the DFS Management service to be remotely managed via DCOM.
Performance Logs and Alerts (TCP-In),Performance Logs and Alerts,TCP,Any,,%systemroot%\system32\plasrv.exe,,Management,Inbound rule for Performance Logs and Alerts traffic. [TCP-In]
Remote Event Log Management (RPC),Remote Event Log Management,TCP,RPC,,%SystemRoot%\system32\svchost.exe,Eventlog,Management,Inbound rule for the local Event Log service to be remotely managed via RPC/TCP.
Remote Scheduled Tasks Management (RPC),Remote Scheduled Tasks Management,TCP,RPC,,%SystemRoot%\system32\svchost.exe,schedule,Management,Inbound rule for the Task Scheduler service to be remotely managed via RPC/TCP.
Remote Service Management (RPC),Remote Service Management,TCP,RPC,,%SystemRoot%\system32\services.exe,,Management,Inbound rule for the local Service Control Manager to be remotely managed via RPC/TCP.
Remote Volume Management - Virtual Disk Service (RPC),Remote Volume Management,TCP,RPC,,%SystemRoot%\system32\vds.exe,vds,Management,Inbound rule for the Remote Volume Management - Virtual Disk Service to be remotely managed via RPC/TCP.
Remote Volume Management - Virtual Disk Service Loader (RPC),Remote Volume Management,TCP,RPC,,%SystemRoot%\system32\vdsldr.exe,,Management,Inbound rule for the Remote Volume Management - Virtual Disk Service Loader to be remotely managed via RPC/TCP.
COM+ Remote Administration (DCOM-In),COM+ Remote Administration,TCP,RPC,,%systemroot%\system32\dllhost.exe,COMSysApp,Management,Inbound rule to allow DCOM traffic to the COM+ System Application for remote administration.
OpenSSH SSH Server (sshd),OpenSSH Server,TCP,22,,%SystemRoot%\system32\OpenSSH\sshd.exe,,Management,Inbound rule for OpenSSH SSH Server (sshd)
Network Policy Server (Legacy RADIUS Authentication - UDP-In),Network Policy Server,UDP,1645,,%systemroot%\system32\svchost.exe,ias,Client,Inbound rule to allow Network Policy Server to receive RADIUS Authentication requests. [UDP 1645]
Network Policy Server (Legacy RADIUS Accounting - UDP-In),Network Policy Server,UDP,1646,,%systemroot%\system32\svchost.exe,ias,Client,Inbound rule to allow Network Policy Server to receive RADIUS Accounting requests. [UDP 1646]
Network Policy Server (RADIUS Authentication - UDP-In),Network Policy Server,UDP,1812,,%systemroot%\system32\svchost.exe,ias,Client,Inbound rule to allow Network Policy Server to receive RADIUS Authentication requests. [UDP 1812]
Network Policy Server (RADIUS Accounting - UDP-In),Network Policy Server,UDP,1813,,%systemroot%\system32\svchost.exe,ias,Client,Inbound rule to allow Network Policy Server to receive RADIUS Accounting requests. [UDP 1813]
Network Policy Server (RPC),Network Policy Server,TCP,RPC,,%systemroot%\system32\iashost.exe,,Management,Inbound rule for the Network Policy Server to be remotely managed via RPC/TCP.
DHCP Server v4 (UDP-In),DHCP Server,UDP,67,,%systemroot%\system32\svchost.exe,dhcpserver,Client,An inbound rule to allow traffic to the IPv4 Dynamic Host Control Protocol Server. [UDP 67]
DHCP Server v4 (UDP-In),DHCP Server,UDP,68,,%systemroot%\system32\svchost.exe,dhcpserver,Client,An inbound rule to allow traffic so that rogue detection works in V4. [UDP 68]
DHCP Server v6 (UDP-In),DHCP Server,UDP,546,,%systemroot%\system32\svchost.exe,dhcpserver,Client,An inbound rule to allow traffic so that rogue detection works in V6. [UDP 546]
DHCP Server v6 (UDP-In),DHCP Server,UDP,547,,%systemroot%\system32\svchost.exe,dhcpserver,Client,An inbound rule to allow traffic to the IPv6 Dynamic Host Control Protocol Server. [UDP 547]
DHCP Server Failover (TCP-In),DHCP Server Management,TCP,647,,%systemroot%\system32\svchost.exe,dhcpserver,DC,An inbound rule to allow DHCP failover messages to the IPv4 Dynamic Host Configuration Protocol Server. [TCP 647]
DHCP Server (RPC-In),DHCP Server Management,TCP,RPC,,%systemroot%\system32\svchost.exe,dhcpserver,Management,An inbound rule to allow traffic to allow RPC traffic for DHCP Server management.
